Request id,Pickup point,Driver id,Status,Request date,Request time,Drop  date,Drop time,Trip Duration (mins)
619,Airport,1,Completed,11-07-2016,11:51:00,11-07-2016,13:00:00,69
867,Airport,1,Completed,11-07-2016,17:57:00,11-07-2016,18:47:00,50
1807,City,1,Completed,12-07-2016,09:17:00,12-07-2016,09:58:00,41
2532,Airport,1,Completed,12-07-2016,21:08:00,12-07-2016,22:03:00,55
3112,City,1,Completed,13-07-2016,08:33:16,13-07-2016,09:25:47,52.51666667
3879,Airport,1,Completed,13-07-2016,21:57:28,13-07-2016,22:28:59,31.51666667
4270,Airport,1,Completed,14-07-2016,06:15:32,14-07-2016,07:13:15,57.71666667
5510,Airport,1,Completed,15-07-2016,05:11:52,15-07-2016,06:07:52,56
6248,City,1,Completed,15-07-2016,17:57:27,15-07-2016,18:50:51,53.4
267,City,2,Completed,11-07-2016,06:46:00,11-07-2016,07:25:00,39
1467,Airport,2,Completed,12-07-2016,05:08:00,12-07-2016,06:02:00,54
1983,City,2,Completed,12-07-2016,12:30:00,12-07-2016,12:57:00,27
2784,Airport,2,Completed,13-07-2016,04:49:20,13-07-2016,05:23:03,33.71666667
3075,City,2,Completed,13-07-2016,08:02:53,13-07-2016,09:16:19,73.43333333
3379,City,2,Completed,13-07-2016,14:23:02,13-07-2016,15:35:18,72.26666667
3482,Airport,2,Completed,13-07-2016,17:23:18,13-07-2016,18:20:51,57.55
4652,City,2,Completed,14-07-2016,12:01:02,14-07-2016,12:36:46,35.73333333
5335,Airport,2,Completed,14-07-2016,22:24:13,14-07-2016,23:18:52,54.65
535,Airport,3,Completed,11-07-2016,10:00:00,11-07-2016,10:31:00,31
960,Airport,3,Completed,11-07-2016,18:45:00,11-07-2016,19:23:00,38
1934,Airport,3,Completed,12-07-2016,11:17:00,12-07-2016,12:23:00,66
2083,Airport,3,Completed,12-07-2016,15:46:00,12-07-2016,16:40:00,54
2211,Airport,3,Completed,12-07-2016,18:00:00,12-07-2016,18:28:00,28
3096,Airport,3,Completed,13-07-2016,08:17:29,13-07-2016,09:22:37,65.13333333
